arm,checkpoint,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
trung_naive_random_zerobias,early,0.8763423878711307,0.00335015847056164,0.871524247452272,0.007337506539535324
trung_naive_random_zerobias,final,0.877605811749842,0.0029034706744867312,0.8738088869587213,0.007320288200816852
trung_random_meannorm,early,0.8938723941882503,0.0017867511842995965,0.8905808780589256,0.001464079419651508
trung_random_meannorm,final,0.903506001263424,0.0020100950823370707,0.8995969358073516,0.0012286483041805364
trung_salt_decpertoken,early,0.9047694251421352,0.0037968462666365887,0.9012797774104768,0.004365815553803937
trung_salt_decpertoken,final,0.9169298799747315,0.0013400633882246875,0.9116206367600808,0.0022718514824868847
trung_salt_decscale05,early,0.8986102337334175,0.0,0.8949846171798203,0.0008980976372327985
trung_salt_decscale05,final,0.9000315855969678,0.007370348635235664,0.8957167384881755,0.006438597808972449
trung_salt_decscale10,early,0.8946620341124447,0.006030285247011016,0.8902228798654324,0.007840116739712272
trung_salt_decscale10,final,0.8889766266582438,0.006030285247011016,0.8852343634972157,0.007144581382576876
trung_salt_dectied,early,0.9028742893240682,0.0029034706744867312,0.897636054247989,0.0014173789186970158
trung_salt_dectied,final,0.8975047378395451,0.005136909654861159,0.8930139915918442,0.005675056780535759
trung_salt_freezealigned,early,0.9042956411876184,0.0008933755921497786,0.8999315736203661,0.0007566593375567403
trung_salt_freezealigned,final,0.9115603284902085,0.0008933755921497786,0.9080706498699883,0.0015555273558685216
trung_salt_globalmap_freqbias,early,0.903506001263424,0.00022334389803743484,0.8985027809375177,0.0010536689232501818
trung_salt_globalmap_freqbias,final,0.9131396083385976,0.0026801267764492574,0.9088050450389007,0.0027602200943250177
