arm,mean,std,count,task,metric
trung_salt_freezealigned,0.381982513444523,0.011504822418775297,3,ViANLI,f1_weighted
trung_random_meannorm,0.3586083372173688,0.05224911995201349,3,ViANLI,f1_weighted
trung_salt_decscale10,0.2867607988306782,0.01899223340257181,3,ViANLI,f1_weighted
trung_naive_random_zerobias,0.2795667295379081,0.02995901178336005,3,ViANLI,f1_weighted
trung_salt_decscale05,0.27526058778055146,0.08866951349631755,3,ViANLI,f1_weighted
trung_salt_dectied,0.2731578650543551,0.049010937217259465,3,ViANLI,f1_weighted
trung_salt_decpertoken,0.2626062634125778,0.11300821113221289,3,ViANLI,f1_weighted
trung_salt_globalmap_freqbias,0.25084806325467407,0.08920618595638113,3,ViANLI,f1_weighted
trung_salt_freezealigned,67.97991843944588,2.400270328398953,3,MRC-ViQuAD,f1
trung_salt_decpertoken,67.52086717289073,1.6087523806598074,3,MRC-ViQuAD,f1
trung_salt_globalmap_freqbias,66.3481134992796,4.6263932351992585,3,MRC-ViQuAD,f1
trung_random_meannorm,56.2746855590374,0.7894180201263347,3,MRC-ViQuAD,f1
trung_salt_dectied,54.0868845052583,2.0370871648777533,3,MRC-ViQuAD,f1
trung_salt_decscale10,46.84685844359766,3.419371061378248,3,MRC-ViQuAD,f1
trung_naive_random_zerobias,43.50883245677364,3.026036923706358,3,MRC-ViQuAD,f1
trung_salt_decscale05,41.92831109310601,1.1123623901816984,3,MRC-ViQuAD,f1
